Row ID,Order Priority,Discount offered,Unit Price,Freight Expenses,Customer ID,Name of customer,Freight Mode,Segment,Product Type,Product Sub-Category,Product Container,Product Base Margin,State,City,Region,Country,ZIP Code,Order Date,Ship Date,Profit,Quantity ordered new,Sales,Target,Order ID
20744,Low,0.01,550.98,45.7,115,Yodoo,Delivery Truck,Restaurant Chain,Preserved Food,Jams,Jumbo Box,0.71,Oregon,Mcminnville,West,USA,97128,04-02-2011,04-07-2011,-163.2,1,452.93,,89587
21230,Low,0.07,96.45,13.99,115,Yodoo,Regular Air,Restaurant Chain,Canned Foods,Compote,Medium Box,0.38,Oregon,Mcminnville,West,USA,97128,4/24/2013,4/29/2013,147.6,3,275.01,85,89589
23055,High,0.02,3.28,5,115,Yodoo,Regular Air,Restaurant Chain,Processed Meat,Foie Gras,Wrap Bag,0.56,Oregon,Mcminnville,West,USA,97128,8/16/2013,8/18/2013,-37.76144,13,47.63,,89590
25359,Critical,0.02,35.41,1.99,122,Jabberstorm,Regular Air,Restaurant Chain,Canned Foods,Assorted Fruits,Small Pack,0.43,California,Visalia,West,USA,93277,04-11-2012,4/13/2012,341.9226,14,495.54,600,90670
25360,High,0.01,42.76,6.22,122,Jabberstorm,Regular Air,Restaurant Chain,Processed Meat,Fresh Water Eel,Small Box,,California,Visalia,West,USA,93277,04-11-2012,04-12-2012,217.9365,7,315.85,,90670
21183,Medium,0.08,27.48,4,122,Jabberstorm,Regular Air,Restaurant Chain,Canned Foods,Assorted Fruits,Small Box,0.75,California,Visalia,West,USA,93277,4/30/2012,05-01-2012,-103.23,1,26.28,600,90671
26165,High,0.1,7.1,6.05,122,Jabberstorm,Regular Air,Restaurant Chain,Processed Meat,Bacon,Small Box,0.39,California,Visalia,West,USA,93277,8/30/2013,8/31/2013,-48.41868,23,160.29,160,90672
26166,High,0.01,119.99,56.14,122,Jabberstorm,Delivery Truck,Restaurant Chain,Canned Foods,Compote,Jumbo Box,0.39,California,Visalia,West,USA,93277,8/30/2013,8/30/2013,-41.7350832,8,1006.9,85,90672
23463,Low,0.03,70.89,89.3,133,Yakijo,Delivery Truck,Restaurant Chain,Preserved Food,Jams,Jumbo Box,0.69,Oregon,Mcminnville,West,USA,97128,3/14/2011,3/21/2011,-1565.89,6,364.43,,90994
21589,High,0.04,35.89,14.72,133,Yakijo,Regular Air,Hotels / Hospitals,Processed Meat,Caviar,Small Box,0.4,Oregon,Mcminnville,West,USA,97128,03-05-2012,03-07-2012,122.11,6,225.04,,90996
20979,High,0.04,22.24,1.99,133,Yakijo,Express Air,Hotels / Hospitals,Canned Foods,Assorted Fruits,Small Pack,0.43,Oregon,Mcminnville,West,USA,97128,05-08-2013,05-08-2013,80.2332,5,116.28,100,90997
20700,High,0.07,10.23,4.68,141,Skinix,Regular Air,Hotels / Hospitals,Processed Meat,Pacific Squid,Small Pack,0.59,California,Visalia,West,USA,93277,1/14/2011,1/15/2011,-30.8512,2,20.45,55,91091
21055,High,0.06,11.58,6.97,141,Skinix,Regular Air,Stand Alone Restaurants,Processed Meat,Caviar,Small Box,0.35,California,Visalia,West,USA,93277,1/24/2012,1/26/2012,-15.7108,12,135.14,,91093
19058,Critical,0.09,32.98,5.5,151,Dynazzy,Regular Air,Restaurant Chain,Canned Foods,Assorted Fruits,Small Box,0.75,Tennessee,Kingsport,South,USA,37664,1/22/2010,1/23/2010,-20.258,2,62.46,600,89521
20679,High,0.09,5.98,2.5,151,Dynazzy,Regular Air,Restaurant Chain,Processed Meat,Caviar,Small Box,0.36,Tennessee,Kingsport,South,USA,37664,4/20/2010,4/22/2010,13.896,5,28.11,,89523
19360,High,0.05,15.67,1.39,151,Dynazzy,Regular Air,Restaurant Chain,Processed Meat,Caviar,Small Box,0.38,Tennessee,Kingsport,South,USA,37664,5/14/2012,5/14/2012,-61.24104,9,139.34,,89528
19518,Medium,0.0001,30.93,3.92,151,Dynazzy,Regular Air,Stand Alone Restaurants,Preserved Food,Marmalade,Small Pack,0.44,Tennessee,Kingsport,South,USA,37664,10-04-2012,10-06-2012,-50.05,7,227,1000,89530
19519,High,0.08,19.98,5.86,151,Dynazzy,Express Air,Stand Alone Restaurants,Processed Meat,Smoked Salmon,Small Box,0.38,Tennessee,Kingsport,South,USA,37664,10-04-2012,10-06-2012,-877.254,3,62.12,,89530
22329,Critical,0.01,95.99,4.9,156,Midel,Regular Air,Hotels / Hospitals,Canned Foods,Quail Eggs,Small Box,0.56,Colorado,Fort Collins,West,USA,80525,5/14/2010,5/15/2010,713.88,13,1050.08,1800,87671
20324,High,0.03,10.89,4.5,156,Midel,Regular Air,Hotels / Hospitals,Processed Meat,Jelly Fish,Small Box,0.59,Colorado,Fort Collins,West,USA,80525,7/25/2010,7/26/2010,-18.64,3,33.82,200,87672
18351,High,0.06,14.48,6.46,156,Midel,Regular Air,Hotels / Hospitals,Processed Meat,Bacon,Small Box,0.38,Colorado,Fort Collins,West,USA,80525,7/14/2011,7/17/2011,8.8995,6,83.6,,87673
18352,High,0.01,35.99,0.99,156,Midel,Regular Air,Hotels / Hospitals,Canned Foods,Quail Eggs,Small Pack,0.35,Colorado,Fort Collins,West,USA,80525,7/14/2011,7/16/2011,150.6684,7,218.36,1800,87673
22567,High,0.03,165.98,19.99,156,Midel,Regular Air,Hotels / Hospitals,Processed Meat,Bacon,Small Box,0.4,Colorado,Fort Collins,West,USA,80525,02-02-2013,02-07-2013,716.7996,6,1038.84,,87675
26102,Medium,0.05,100.98,35.84,164,Ailane,Delivery Truck,Restaurant Chain,Preserved Food,Pickle,Jumbo Box,0.62,Washington,Richland,West,USA,99352,07-02-2010,07-04-2010,-111.4,7,715.55,1500,89961
26103,High,0.02,4.98,5.49,164,Ailane,Regular Air,Restaurant Chain,Processed Meat,Smoked Salmon,Small Box,0.38,Washington,Richland,West,USA,99352,07-02-2010,07-03-2010,-77.03,9,45.63,,89961
23005,High,0.05,6.48,9.17,164,Ailane,Regular Air,Restaurant Chain,Processed Meat,Smoked Salmon,Small Box,0.37,Washington,Richland,West,USA,99352,10-02-2011,10-04-2011,-275.0544,22,143.7,,89962
24288,High,0.06,3.28,3.97,164,Ailane,Regular Air,Stand Alone Restaurants,Processed Meat,Foie Gras,Wrap Bag,0.56,Washington,Richland,West,USA,99352,6/29/2012,6/29/2012,-37.856,7,23.87,,89964
24945,Not Specified,0.03,150.98,66.27,164,Ailane,Delivery Truck,Restaurant Chain,Preserved Food,Pickle,Jumbo Box,0.65,Washington,Richland,West,USA,99352,03-08-2013,03-09-2013,-519.94,8,1259,1500,89966
26018,High,0.09,100.98,35.84,175,Skyble,Delivery Truck,Hotels / Hospitals,Preserved Food,Pickle,Jumbo Box,0.62,Washington,Seatac,West,USA,98158,4/20/2011,4/22/2011,-220.84,5,487.27,1500,90649
26017,High,0.07,22.38,15.1,175,Skyble,Regular Air,Hotels / Hospitals,Processed Meat,Bacon,Small Box,0.38,Washington,Seatac,West,USA,98158,4/20/2013,4/20/2013,-111.3315,7,151.22,,90652
21911,High,0.08,15.74,1.39,178,Vipe,Regular Air,Stand Alone Restaurants,Processed Meat,Caviar,Small Box,0.4,Virginia,Colonial Heights,South,USA,23834,2/26/2011,2/27/2011,201.756,11,167.25,,90826
21912,Medium,0.01,9.65,6.22,178,Vipe,Express Air,Stand Alone Restaurants,Preserved Food,Marmalade,Small Box,0.55,Virginia,Colonial Heights,South,USA,23834,2/26/2011,2/28/2011,2.34,8,80.43,1000,90826
23304,High,0.02,6.48,6.74,178,Vipe,Regular Air,Stand Alone Restaurants,Processed Meat,Smoked Salmon,Small Box,0.37,Virginia,Colonial Heights,South,USA,23834,06-06-2013,06-07-2013,26.472,8,54.01,,90830
20173,High,0.1,60.22,3.5,178,Vipe,Express Air,Stand Alone Restaurants,Processed Meat,Jelly Fish,Small Box,0.57,Virginia,Colonial Heights,South,USA,23834,10-04-2013,10-07-2013,-35.574,21,1146.03,200,90831
20174,High,0.05,80.98,35,178,Vipe,Regular Air,Stand Alone Restaurants,Processed Meat,Fresh Water Eel,Large Box,0.83,Virginia,Colonial Heights,South,USA,23834,10-04-2013,10-06-2013,130.0212,7,572.18,,90831
20175,Critical,0.07,179.29,56.2,178,Vipe,Delivery Truck,Stand Alone Restaurants,Preserved Food,Jams,Jumbo Box,0.71,Virginia,Colonial Heights,South,USA,23834,10-04-2013,10-06-2013,-446.0316,4,748.42,,90831
26346,Medium,0.05,20.99,0.99,200,Livefish,Regular Air,Restaurant Chain,Canned Foods,Quail Eggs,Small Pack,0.83,Arizona,El Mirage,West,USA,85335,1/27/2012,1/29/2012,-69.3594,5,91.78,1800,91141
25543,High,0.05,20.98,53.03,200,Livefish,Delivery Truck,Restaurant Chain,Processed Meat,Fresh Water Eel,Jumbo Drum,0.78,Arizona,El Mirage,West,USA,85335,3/18/2013,3/20/2013,-815.79,5,120.36,,91142
20778,High,0.02,11.58,5.72,200,Livefish,Regular Air,Restaurant Chain,Processed Meat,Caviar,Small Box,0.35,Arizona,El Mirage,West,USA,85335,09-02-2013,09-03-2013,-10.7548,2,27.19,,91143
20779,High,0.0001,30.98,8.74,200,Livefish,Regular Air,Restaurant Chain,Processed Meat,Smoked Salmon,Small Box,0.4,Arizona,El Mirage,West,USA,85335,09-02-2013,09-04-2013,134.1144,8,262.13,,91143
23143,Low,0.0001,55.99,5,217,Jaloo,Regular Air,Restaurant Chain,Canned Foods,Quail Eggs,Small Pack,0.8,Utah,Midvale,West,USA,84047,9/13/2011,9/20/2011,-129.14,9,443.08,1800,88051
23149,High,0.07,3.14,1.14,217,Jaloo,Express Air,Restaurant Chain,Processed Meat,Smoked Salmon,Wrap Bag,0.4,Utah,Midvale,West,USA,84047,6/16/2012,6/17/2012,30.024,18,56.23,,88053
23150,High,0.08,3.57,4.17,217,Jaloo,Regular Air,Restaurant Chain,Processed Meat,Foie Gras,Small Pack,0.59,Utah,Midvale,West,USA,84047,6/16/2012,6/18/2012,-44.856,8,29.61,,88053
21469,High,0.03,7.3,7.72,217,Jaloo,Regular Air,Personel Usage,Processed Meat,Bacon,Small Box,0.38,Utah,Midvale,West,USA,84047,9/15/2012,9/17/2012,-127.5235,17,130.26,800,88054
21470,Critical,0.0001,29.89,1.99,217,Jaloo,Regular Air,Personel Usage,Canned Foods,Assorted Fruits,Small Pack,0.5,Utah,Midvale,West,USA,84047,9/15/2012,9/17/2012,92.7,7,217.6,250,88054
21999,High,0.07,2.78,1.49,217,Jaloo,Regular Air,Personel Usage,Processed Meat,Bacon,Small Box,0.36,Utah,Midvale,West,USA,84047,8/28/2013,8/29/2013,4.233136,12,34.25,800,88058
21203,Medium,0.03,60.89,32.41,228,Browsetype,Delivery Truck,Stand Alone Restaurants,Preserved Food,Sundried Tomatoes,Jumbo Drum,0.56,North Carolina,Mint Hill,South,USA,28227,04-02-2010,04-03-2010,36.354,7,450.49,1800,88527
21302,High,0.03,6.48,5.74,228,Browsetype,Regular Air,Stand Alone Restaurants,Processed Meat,Smoked Salmon,Small Box,0.37,North Carolina,Mint Hill,South,USA,28227,1/14/2011,1/17/2011,-22.554,8,52.73,,88528
20477,Low,0.03,65.99,8.99,228,Browsetype,Regular Air,Stand Alone Restaurants,Canned Foods,Quail Eggs,Small Box,0.56,North Carolina,Mint Hill,South,USA,28227,9/22/2011,9/24/2011,153.696,21,1214.63,1800,88529
24328,Medium,0.06,259.71,66.67,241,Zoombeat,Delivery Truck,Stand Alone Restaurants,Preserved Food,Jams,Jumbo Box,0.61,Colorado,Grand Junction,West,USA,81503,4/20/2010,4/21/2010,785.63,11,2809.87,,90479
25264,High,0.01,5.94,9.92,241,Zoombeat,Regular Air,Stand Alone Restaurants,Processed Meat,Bacon,Small Box,0.38,Colorado,Grand Junction,West,USA,81503,5/26/2010,06-02-2010,-256.519,13,79.93,80,90480
25265,Low,0.02,125.99,3,241,Zoombeat,Regular Air,Stand Alone Restaurants,Canned Foods,Quail Eggs,Small Box,0.59,Colorado,Grand Junction,West,USA,81503,5/26/2010,5/26/2010,398.358,8,873.18,1800,90480
24682,Medium,0.01,15.98,4,241,Zoombeat,Regular Air,Stand Alone Restaurants,Canned Foods,Assorted Fruits,Small Box,0.37,Colorado,Grand Junction,West,USA,81503,03-03-2012,03-04-2012,123.234,11,178.6,,90483
25661,High,0.06,499.99,24.49,241,Zoombeat,Regular Air,Stand Alone Restaurants,Canned Foods,Wild Berry,Large Box,0.36,Colorado,Grand Junction,West,USA,81503,04-09-2013,04-10-2013,-517.08,3,1508.67,5000,90485
26106,High,0.1,18.65,3.77,242,Ooba,Regular Air,Stand Alone Restaurants,Preserved Food,Marmalade,Small Pack,0.39,Colorado,Greeley,West,USA,80634,05-01-2011,05-01-2011,84.5112,7,122.48,1000,90482
26107,High,0.0001,2.88,1.49,242,Ooba,Regular Air,Stand Alone Restaurants,Processed Meat,Bacon,Small Box,0.36,Colorado,Greeley,West,USA,80634,10/25/2013,10/27/2013,11.322,21,63.08,80,90487
25714,High,0.05,10.06,2.06,244,Eidel,Regular Air,Hotels / Hospitals,Processed Meat,Smoked Salmon,Wrap Bag,0.39,Tennessee,Farragut,South,USA,37922,10/18/2013,10/22/2013,-12.782,17,168.44,,86720
26365,Critical,0.0001,306.14,26.53,255,Dabvine,Delivery Truck,Restaurant Chain,Canned Foods,Compote,Jumbo Drum,0.56,Colorado,Lakewood,West,USA,80232,2/20/2011,2/20/2011,1113.3495,5,1613.55,85,86269
21925,High,0.09,28.48,1.99,255,Dabvine,Express Air,Restaurant Chain,Canned Foods,Assorted Fruits,Small Pack,0.4,Colorado,Lakewood,West,USA,80232,10-07-2011,10-09-2011,253.4715,14,367.35,600,86271
25275,High,0.04,8.46,3.62,255,Dabvine,Regular Air,Restaurant Chain,Canned Foods,Assorted Fruits,Small Pack,0.61,Colorado,Lakewood,West,USA,80232,09-01-2012,09-02-2012,-38.23,12,103.17,600,86273
23731,High,0.02,10.94,1.39,255,Dabvine,Regular Air,Restaurant Chain,Processed Meat,Caviar,Small Box,0.35,Colorado,Lakewood,West,USA,80232,2/17/2013,2/22/2013,31.05,4,45,,86275
18770,High,0.02,5.58,5.3,268,Bubblebox,Regular Air,Restaurant Chain,Processed Meat,Caviar,Small Box,0.35,Arizona,Flagstaff,West,USA,86001,04-07-2010,04-12-2010,-22.48,3,18.67,,88941
18771,Low,0.03,40.89,18.98,268,Bubblebox,Regular Air,Restaurant Chain,Preserved Food,Marmalade,Small Box,0.57,Arizona,Flagstaff,West,USA,86001,04-07-2010,4/14/2010,78.98,5,210.77,1000,88941
23059,High,0.09,35.94,6.66,269,Quatz,Regular Air,Restaurant Chain,Processed Meat,Caviar,Small Box,0.4,Arizona,Gilbert,West,USA,85234,12-05-2010,12-10-2010,144.2928,6,209.12,,88942
23060,Low,0.0001,170.98,13.99,269,Quatz,Regular Air,Restaurant Chain,Preserved Food,Marmalade,Medium Box,0.75,Arizona,Gilbert,West,USA,85234,12-05-2010,12-12-2010,888.1473,7,1287.17,1000,88942
23061,High,0.09,4.98,7.44,269,Quatz,Regular Air,Restaurant Chain,Processed Meat,Smoked Salmon,Small Box,0.36,Arizona,Gilbert,West,USA,85234,12-05-2010,12-07-2010,-46.005,9,46.17,,88942
23025,High,0.04,4.91,0.5,269,Quatz,Regular Air,Restaurant Chain,Processed Meat,Oysters (Clam),Small Box,0.36,Arizona,Gilbert,West,USA,85234,5/29/2011,5/30/2011,43.125,13,62.5,200,88944
23026,High,0.08,85.99,0.99,269,Quatz,Regular Air,Restaurant Chain,Canned Foods,Quail Eggs,Wrap Bag,0.55,Arizona,Gilbert,West,USA,85234,5/29/2011,5/31/2011,885.2838,18,1283.02,1800,88944
22760,Low,0.03,14.34,5,269,Quatz,Regular Air,Stand Alone Restaurants,Preserved Food,Marmalade,Small Pack,0.49,Arizona,Gilbert,West,USA,85234,12/19/2011,12/23/2011,59.1813,6,85.77,1000,88946
22487,High,0.07,140.99,4.2,269,Quatz,Regular Air,Stand Alone Restaurants,Canned Foods,Quail Eggs,Small Box,0.59,Arizona,Gilbert,West,USA,85234,6/25/2012,6/27/2012,-60.0072,5,579.55,1800,88948
25401,High,0.09,150.98,13.99,270,Buzzshare,Regular Air,Stand Alone Restaurants,Canned Foods,Compote,Medium Box,0.38,Arizona,Glendale,West,USA,85301,07-04-2011,07-04-2011,1196.8395,14,1734.55,85,88945
23197,High,0.1,4.28,1.6,270,Buzzshare,Regular Air,Restaurant Chain,Processed Meat,Foie Gras,Wrap Bag,0.58,Arizona,Glendale,West,USA,85301,1/19/2012,1/19/2012,-19.5796,13,51.03,,88947
24403,High,0.07,21.78,5.94,270,Buzzshare,Regular Air,Restaurant Chain,Processed Meat,Jelly Fish,Medium Box,0.5,Arizona,Glendale,West,USA,85301,4/18/2013,4/18/2013,182.16,12,264,200,88951
23573,High,0.02,11.97,5.81,270,Buzzshare,Regular Air,Stand Alone Restaurants,Processed Meat,Foie Gras,Small Pack,0.6,Arizona,Glendale,West,USA,85301,08-12-2013,08-12-2013,-26.12264,19,228.02,,88952
23574,Low,0.03,159.31,60,270,Buzzshare,Delivery Truck,Stand Alone Restaurants,Preserved Food,Jams,Jumbo Drum,0.55,Arizona,Glendale,West,USA,85301,08-12-2013,8/16/2013,25.95672,9,1505.99,,88952
